,_key,_idf
0,abatacept,8
1,abbreviations,1
2,ability,8
3,able,3
4,abnormal,3
5,abroad,1
6,absence,6
7,absolute,2
8,abstracts,1
9,abundant,1
10,academia,1
11,academic,2
12,academy,2
13,accelerate,2
14,accelerated,1
15,accelerating,1
16,accept,6
17,acceptability,3
18,acceptable,1
19,acceptance,6
20,accepted,2
21,accepting,1
22,access,6
23,accessibility,1
24,accompanied,2
25,accomplish,1
26,accordance,1
27,according,12
28,account,3
29,accounts,1
30,accruing,1
31,accuracy,2
32,ace,7
33,aceexpressiondisordercaused,1
34,achieve,11
35,achieved,7
36,achievement,1
37,achievements,1
38,achieving,9
39,acid,5
40,acids,2
41,acip,9
42,acips,2
43,acquire,2
44,acquired,3
45,acquiring,1
46,acquisition,1
47,across,11
48,act,6
49,action,7
50,actions,1
51,activate,1
52,activation,4
53,active,4
54,activities,6
55,activitiesimportance,1
56,activity,10
57,acute,55
58,acutechronic,1
59,adaptive,3
60,added,2
61,addition,15
62,additional,11
63,additionally,4
64,addon,4
65,address,5
66,addressed,2
67,addresses,1
68,addressing,1
69,ade,6
70,adefovir,2
71,adenopathy,4
72,adenosine,1
73,adequate,5
74,adequately,1
75,adherence,9
76,adiposederived,1
77,adjunct,1
78,adjust,1
79,adjusted,7
80,adjusting,3
81,adjuvant,5
82,adjuvanted,3
83,administer,1
84,administered,15
85,administering,2
86,administration,35
87,administrationin,1
88,administrations,1
89,administrative,1
90,administrators,1
91,admission,4
92,admitted,2
93,adolescent,2
94,adolescents,5
95,adopted,1
96,adoptive,1
97,adult,11
98,adulthood,1
99,adults,28
100,advanced,10
101,advancements,2
102,advances,4
103,advantage,2
104,advantages,3
105,adverse,25
106,advice,1
107,advised,1
108,advisory,6
109,advocacy,1
110,advocate,1
111,ae,2
112,aes,4
113,affect,5
114,affected,10
115,affecting,2
116,affiliated,2
117,afflicted,1
118,afflicts,1
119,affordable,2
120,aforementioned,1
121,africa,9
122,african,4
123,afucosylated,3
124,age,48
125,aged,11
126,ageing,1
127,agematched,1
128,agency,1
129,agent,13
130,agents,21
131,ages,2
132,agespecific,1
133,agestructured,1
134,aggressive,1
135,agiho,1
136,agitation,1
137,ago,4
138,agree,1
139,agreed,4
140,ahbv,23
141,ahead,2
142,aid,1
143,aim,11
144,aimed,20
145,aiming,1
146,aims,16
147,air,1
148,airway,1
149,alafenamide,5
150,alanine,5
151,alappuzha,1
152,albumin,1
153,alcohol,1
154,alfaa,1
155,alfab,1
156,alike,1
157,alkaloid,1
158,allergic,5
159,allergies,1
160,allium,2
161,allocate,2
162,allocated,1
163,allocating,2
164,allocation,6
165,allogeneic,1
166,allohsct,2
167,allow,3
168,allowed,2
169,allowing,2
170,allows,2
171,almost,6
172,alone,7
173,along,5
174,alpha,5
175,alphaexpert,1
176,already,5
177,also,58
178,alt,2
179,alterations,2
180,alterative,1
181,altered,2
182,alternative,9
183,althea,1
184,although,17
185,alumadjuvanted,1
186,aluminum,1
187,alveolar,5
188,always,1
189,ambitious,1
190,ameliorate,1
191,america,1
192,american,3
193,americans,3
194,ami,8
195,amild,1
196,amino,1
197,aminotransferase,6
198,aminotransferases,1
199,aml,1
200,among,55
201,amongst,2
202,amount,2
203,amounted,1
204,amplifies,1
205,amplifying,1
206,anakinra,3
207,analog,2
208,analogs,1
209,analogues,7
210,analysed,1
211,analyses,7
212,analysis,38
213,analytical,1
214,analyze,8
215,analyzed,10
216,analyzing,2
217,anamnestic,1
218,anaphylaxis,7
219,ancient,1
220,andrographis,1
221,anemia,1
222,angeles,1
223,angiogenesis,1
224,angiotensin,2
225,angiotensinconverting,2
226,animal,2
227,animals,1
228,ankara,1
229,ann,1
230,announced,1
231,announcing,1
232,annual,1
233,annually,1
234,anonymously,1
235,another,2
236,answers,1
237,antagonist,1
238,antagonists,1
239,antenatal,2
240,antiapoptotic,2
241,antibacterial,1
242,antibodies,15
243,antibody,37
244,antibodybased,1
245,antibodydependent,3
246,anticancer,3
247,anticccdna,2
248,anticd,2
249,anticipating,1
250,anticoronavirus,1
251,anticovid,1
252,antiepidemic,1
253,antifibrogenic,1
254,antifibrotic,1
255,antifungal,1
256,antigen,37
257,antigenemia,1
258,antigenic,3
259,antigenpositive,3
260,antigens,3
261,antiglycoprotein,1
262,antihbc,6
263,antihbcpositive,2
264,antihbs,58
265,antihbsenriched,1
266,antihbv,6
267,antihemolytic,1
268,antihepatitisb,3
269,antiinflammatory,7
270,antiliver,5
271,antimalarial,3
272,antimalarials,4
273,antimicrobial,1
274,antioxidant,4
275,antiparasite,1
276,antiplatelet,2
277,antiproliferative,1
278,antipsychotics,8
279,antiretroviral,2
280,antirheumatic,1
281,antithrombotic,1
282,antitnf,5
283,antitumor,1
284,antiviral,71
285,antivirals,12
286,antivirus,1
287,anxiety,3
288,anytime,1
289,aor,6
290,aors,1
291,apart,3
292,apes,1
293,aplastic,1
294,apobecs,1
295,appear,3
296,appearance,1
297,appears,1
298,applicability,1
299,application,2
300,applications,3
301,applied,5
302,apply,1
303,appraise,1
304,appraises,1
305,appreciated,1
306,approach,18
307,approaches,14
308,appropriate,4
309,approval,4
310,approvals,1
311,approve,1
312,approved,16
313,approximately,5
314,april,3
315,ar,3
316,arab,1
317,ards,3
318,area,5
319,areahypothesis,1
320,areaofbirth,1
321,areas,11
322,areasaim,1
323,arise,1
324,arisen,1
325,arising,1
326,around,6
327,arr,1
328,array,1
329,arrhythmia,1
330,arsenal,1
331,art,6
332,arterial,1
333,arthritis,2
334,article,19
335,articles,10
336,ascs,2
337,asct,5
338,aseptically,1
339,asia,1
340,asian,3
341,asixmonthsperiod,1
342,asked,2
343,asking,1
344,aspect,2
345,aspects,4
346,assay,3
347,assays,2
348,assess,12
349,assessed,14
350,assessing,4
351,assessment,5
352,assessments,1
353,assigned,2
354,assist,1
355,associated,57
356,association,14
357,associations,4
358,assuming,1
359,assured,1
360,astrazeneca,1
361,astrazenecas,1
362,asymptomatic,5
363,atazanavir,1
364,atherosclerosis,1
365,atonomous,1
366,atrisk,3
367,attachment,1
368,attain,1
369,attainment,1
370,attempt,2
371,attempts,3
372,attention,11
373,attitude,1
374,attitudes,4
375,attracted,1
376,attracting,2
377,attractive,1
378,attracts,1
379,attributes,2
380,audiologic,1
381,augmented,1
382,august,6
383,auroc,2
384,authorisation,1
385,authorise,1
386,authorities,1
387,authority,1
388,authorization,4
389,authorized,5
390,authors,5
391,autohaemotherapy,1
392,autoimmune,1
393,autologous,1
394,auxiliary,1
395,availability,3
396,available,44
397,availably,1
398,average,7
399,averted,4
400,avoid,1
401,awaited,1
402,aware,4
403,awareness,9
404,away,1
405,axillary,5
406,aya,3
407,azithromycin,8
408,azm,6
409,b,21
410,background,33
411,bacterial,1
412,badly,1
413,baghdad,1
414,baicalensis,1
415,baicalin,1
416,balance,1
417,balb,2
418,band,1
419,bank,1
420,barcelona,1
421,baricinitib,1
422,barrier,2
423,barriers,17
424,base,4
425,based,33
426,baseline,7
427,basis,5
428,batch,2
429,bats,1
430,bcell,3
431,bcg,1
432,bcp,1
433,bear,1
434,bears,1
435,became,3
436,become,3
437,becomes,4
438,becoming,1
439,began,1
440,begin,1
441,beginning,3
442,behavioral,1
443,behind,2
444,beijing,1
445,belgium,1
446,belief,2
447,belonged,1
448,belonging,1
449,benchmark,2
450,beneficial,3
451,beneficiaries,1
452,benefit,9
453,benefited,1
454,benefiting,2
455,benefits,10
456,benefitsaverting,1
457,besides,2
458,best,4
459,beta,2
460,betacorona,1
461,betacoronavirus,2
462,betapropiolactone,1
463,betathalassemia,5
464,better,13
465,beyond,1
466,bias,4
467,bile,1
468,billions,1
469,bim,1
470,binary,1
471,bind,1
472,binding,3
473,bioactive,5
474,bioactives,2
475,biochemical,4
476,biochemistry,1
477,biologic,3
478,biological,10
479,biomarkers,6
480,biomimicry,1
481,biontech,4
482,biophysical,2
483,biopsies,1
484,biopsy,1
485,biorad,1
486,biotec,1
487,birth,20
488,birthabroad,1
489,births,2
490,bivariate,1
491,black,5
492,block,1
493,blocking,1
494,blood,15
495,bloodstream,1
496,blot,1
497,bmdcs,1
498,bmi,2
499,bntb,8
500,board,1
501,bodies,1
502,body,4
503,bodymass,1
504,bolus,2
505,bone,2
506,booster,15
507,boosters,5
508,boosting,1
509,born,12
510,bottom,1
511,boundaries,1
512,bowel,2
513,boys,1
514,brain,1
515,break,1
516,breakthrough,1
517,breast,1
518,breastfed,8
519,breastfeed,1
520,breastfeeding,3
521,breg,7
522,bregmediated,1
523,brewing,1
524,brief,1
525,bring,1
526,british,1
527,broad,3
528,broader,1
529,broadly,1
530,broadspectrum,2
531,bronchitis,1
532,bronze,1
533,brooklyn,1
534,bruton,1
535,btki,4
536,btkis,4
537,budget,1
538,buffered,1
539,buoyant,1
540,burden,10
541,burns,1
542,c,27
543,ca,1
544,calculate,1
545,calculated,2
546,calculations,1
547,calibrated,1
548,california,1
549,called,2
550,calling,1
551,cambridge,1
552,camellia,2
553,cameroon,1
554,camp,2
555,campaigns,2
556,canada,1
557,cancer,30
558,cancers,2
559,candidate,7
560,candidates,16
561,cansino,1
562,capability,1
563,capable,2
564,capacity,2
565,capita,2
566,capital,1
567,capsids,2
568,carboxymethyl,1
569,carcinoma,16
570,carcinomas,1
571,cardioprotective,1
572,cardiovascular,3
573,care,28
574,careful,2
575,carefully,1
576,caregiver,1
577,caregivers,7
578,carers,1
579,carried,2
580,carrier,3
581,carriers,3
582,carrying,2
583,cart,3
584,case,16
585,casecontrol,5
586,cases,36
587,caspase,1
588,catastrophic,1
589,categories,2
590,causal,1
591,causative,2
592,cause,12
593,caused,21
594,causes,15
595,causing,6
596,caution,2
597,cautionary,1
598,cautions,1
599,cautious,1
600,cccdna,9
601,cclg,1
602,cd,21
603,cdc,2
604,cell,18
605,cellmediated,1
606,cells,42
607,cellular,7
608,cellulose,1
609,center,1
610,centers,4
611,central,2
612,centre,2
613,centuries,1
614,century,2
615,certain,5
616,certainty,1
617,cessation,3
618,chain,3
619,chains,2
620,chair,1
621,challenge,8
622,challenged,1
623,challenges,9
624,challenging,2
625,chances,1
626,change,2
627,changes,6
628,characterised,1
629,characteristic,3
630,characteristics,17
631,characterization,3
632,characterize,1
633,characterized,6
634,characterizing,1
635,charge,2
636,chart,2
637,chb,13
638,chc,1
639,checked,1
640,checks,1
641,chemical,1
642,chemiluminescent,1
643,chemokines,1
644,chemotherapy,19
645,chemotherapyinduced,1
646,chi,4
647,chicago,1
648,chictrprc,1
649,chilblainlike,1
650,child,7
651,childhood,9
652,childpugh,3
653,children,65
654,childrens,1
655,chimeric,1
656,china,15
657,chinese,6
658,chisquare,3
659,chitosan,1
660,chloroquine,7
661,chlorpromazine,1
662,choice,1
663,choices,3
664,choosing,2
665,chq,2
666,chronic,78
667,chronically,4
668,chronicity,1
669,chymotrypsinlike,1
670,ci,44
671,cid,4
672,cids,2
673,cilostazol,5
674,circular,4
675,cirrhosis,28
676,cirrhotic,3
677,cis,3
678,cisgender,1
679,citations,2
680,cited,2
681,citizens,1
682,citrus,2
683,city,3
684,civil,1
685,cl,1
686,clarify,2
687,class,2
688,classes,2
689,classical,1
690,cld,4
691,clear,1
692,clearance,2
693,clearly,1
694,cleaved,1
695,clinic,6
696,clinical,110
697,clinically,4
698,clinicaltrialsgov,7
699,clinicians,4
700,clinics,1
701,cll,2
702,cloned,1
703,close,3
704,closed,4
705,closely,2
706,closest,1
707,clozapine,1
708,clustering,1
709,cmc,3
710,cmcdmns,4
711,cmia,1
712,cmn,1
713,cmns,1
714,cnbg,1
715,cnki,1
716,cny,1
717,coadministered,1
718,coadministration,2
719,coagulation,1
720,coagulopathy,1
721,coalitions,1
722,coating,3
723,cochrane,4
724,coding,1
725,coefficients,1
726,coexisting,1
727,coexpression,1
728,coexpressionproteins,1
729,cohort,18
730,cohorts,6
731,coinfection,3
732,colchicine,1
733,collaboration,1
734,collaborative,1
735,colleagues,2
736,collect,1
737,collected,11
738,collecting,1
739,collection,2
740,college,1
741,combat,3
742,combating,1
743,combination,21
744,combinations,1
745,combined,5
746,come,2
747,comes,2
748,commenced,1
749,commencing,1
750,commitment,2
751,committee,6
752,commodities,1
753,commodity,2
754,common,12
755,commonly,5
756,communicated,1
757,communication,4
758,communities,3
759,community,18
760,communitybased,1
761,comorbidities,2
762,comorbidity,1
763,companies,1
764,comparable,6
765,comparative,3
766,compare,8
767,compared,53
768,comparing,2
769,comparison,7
770,compassionate,1
771,compelling,1
772,competition,1
773,compile,1
774,compiled,2
775,compiling,1
776,complete,5
777,completed,9
778,completely,2
779,completing,3
780,completion,9
781,complex,4
782,complexation,1
783,complexities,1
784,complexity,2
785,compliance,2
786,complications,15
787,comply,1
788,component,4
789,components,6
790,composed,3
791,composition,3
792,compounded,1
793,compounds,1
794,comprehensive,4
795,comprehensively,1
796,comprise,1
797,comprises,1
798,computational,1
799,concentration,5
800,concentrations,4
801,concept,1
802,conceptual,1
803,concern,6
804,concerned,1
805,concerning,1
806,concerns,5
807,conclude,1
808,concluded,1
809,concludes,1
810,conclusion,26
811,conclusions,31
812,conclusive,1
813,concomitant,1
814,concomitantly,2
815,concurrent,3
816,concurrently,1
817,condition,5
818,conditional,2
819,conditions,7
820,conduct,1
821,conducted,21
822,confer,1
823,conferred,1
824,confidence,14
825,confident,1
826,confirm,2
827,confirmed,4
828,confirms,1
829,confounding,1
830,confront,1
831,confronted,1
832,confusion,2
833,conjunction,2
834,conjunctivitis,1
835,connected,1
836,connection,1
837,connective,1
838,cons,1
839,conscious,1
840,consecutive,2
841,consecutively,1
842,consensus,1
843,consent,5
844,consequences,5
845,consequent,1
846,consequently,2
847,conservative,2
848,conserved,2
849,consider,5
850,consideration,3
851,considerations,4
852,considered,19
853,considering,5
854,considers,1
855,consist,1
856,consistency,2
857,consistently,1
858,consisting,1
859,consists,2
860,consolidate,1
861,constitute,2
862,construct,2
863,constructed,1
864,constructs,1
865,consultants,2
866,consultations,1
867,consulted,1
868,consumed,1
869,consumption,1
870,contact,3
871,contacted,1
872,contagious,1
873,contained,1
874,containing,7
875,contains,2
876,contenders,1
877,context,3
878,contextual,2
879,contextualized,1
880,contextually,1
881,contingent,1
882,continuation,1
883,continue,4
884,continued,8
885,continues,4
886,continuity,1
887,continuous,1
888,continuously,2
889,contracted,1
890,contracting,2
891,contraindicating,2
892,contraindications,3
893,contrast,4
894,contribute,4
895,contributed,1
896,contributes,1
897,contributing,1
898,contributors,1
899,control,26
900,controlled,13
901,controlling,6
902,controls,15
903,controversial,2
904,convalescent,1
905,convenience,1
906,conventional,7
907,converted,1
908,converting,2
909,convolutional,1
910,cooperation,1
911,copd,3
912,cope,2
913,core,7
914,corerelated,4
915,corners,1
916,cornerstone,2
917,corona,1
918,coronary,1
919,coronavirus,84
920,coronaviruses,2
921,correlate,1
922,correlation,1
923,correlations,1
924,corresponding,1
925,corticosteroid,1
926,corticosteroids,3
927,cost,8
928,costeffective,3
929,costeffectiveness,7
930,costly,1
931,costs,12
932,costsaving,2
933,costutility,3
934,cotrimoxazole,1
935,cough,1
936,could,24
937,counseling,1
938,count,2
939,counteract,1
940,counterparts,1
941,counting,1
942,countries,22
943,country,3
944,counts,2
945,county,2
946,coupled,1
947,course,13
948,courses,1
949,covalently,4
950,cover,3
951,coverage,11
952,covered,6
953,covering,1
954,covers,1
955,covid,388
956,covidpositive,1
957,covidrelated,5
958,covs,1
959,cox,2
960,cpg,6
961,cpgp,2
962,cq,1
963,crd,3
964,create,1
965,created,2
966,credible,1
967,crediblemeds,1
968,crises,1
969,crisis,3
970,criteria,15
971,critical,14
972,critically,4
973,crosssectional,5
974,crs,1
975,crucial,10
976,crude,1
977,cryoglobulinemic,1
978,cryopreserved,1
979,cryptotanshinone,1
980,cs,4
981,ct,1
982,ctd,3
983,ctds,1
984,ctl,1
985,ctla,1
986,culture,3
987,cultures,1
988,cuminum,1
989,cumulative,2
990,curative,2
991,curativeintent,1
992,curb,1
993,curcumin,1
994,cure,14
995,cured,1
996,curfews,1
997,curing,1
998,curiosity,1
999,current,44
1000,currently,28
1001,curriculum,1
1002,curve,1
1003,cusp,1
1004,customizable,1
1005,cutaneous,3
1006,cutoff,3
1007,cutting,1
1008,cv,6
1009,cycle,3
1010,cycles,4
1011,cyminum,1
1012,cytochromes,2
1013,cytokine,19
1014,cytokines,6
1015,cytomegalovirus,1
1016,cytometrybased,2
1017,cytosine,2
1018,cytotoxic,2
1019,daa,1
1020,daas,3
1021,dagger,2
1022,daily,3
1023,daly,3
1024,dalys,1
1025,damage,16
1026,damaged,2
1027,damages,1
1028,dampen,1
1029,dangerous,1
1030,dangers,1
1031,darunavir,1
1032,data,49
1033,database,9
1034,databases,9
1035,date,14
1036,day,8
1037,days,16
1038,ddi,2
1039,ddimer,2
1040,ddis,1
1041,de,4
1042,deadliest,1
1043,deadly,1
1044,dealt,1
1045,death,11
1046,deaths,11
1047,debated,1
1048,debates,1
1049,dec,1
1050,decades,4
1051,december,20
1052,decision,3
1053,decisionmaking,1
1054,decisions,2
1055,decisiontree,1
1056,declare,1
1057,declared,1
1058,decline,1
1059,declined,1
1060,decrease,9
1061,decreased,15
1062,decreases,3
1063,decreasing,2
1064,dedicated,1
1065,deepen,1
1066,defects,1
1067,defensin,1
1068,deferred,1
1069,deficiencies,1
1070,deficient,1
1071,defined,8
1072,definite,4
1073,definitely,2
1074,definitions,3
1075,definitive,2
1076,degradation,1
1077,degree,1
1078,degrees,3
1079,delay,1
1080,delays,1
1081,deleterious,1
1082,deliberate,3
1083,deliberations,2
1084,delirium,2
1085,deliver,3
1086,delivered,2
1087,delivering,1
1088,delivery,15
1089,deluge,1
1090,demand,8
1091,demanding,1
1092,demands,1
1093,demographic,2
1094,demographics,1
1095,demonstrate,8
1096,demonstrated,18
1097,demonstrates,2
1098,demonstrating,2
1099,dendrimers,1
1100,dendritic,2
1101,dengue,3
1102,denmark,2
1103,density,1
1104,denv,2
1105,department,1
1106,departments,1
1107,depend,1
1108,depending,1
1109,depends,1
1110,depletion,1
1111,deploy,2
1112,deployed,5
1113,deploying,1
1114,deployment,2
1115,depth,1
1116,derivation,2
1117,derivatives,2
1118,derive,1
1119,derived,2
1120,dermatitis,3
1121,dermatologists,1
1122,dermatology,1
1123,descended,1
1124,describe,7
1125,described,5
1126,describing,2
1127,descriptions,1
1128,descriptive,2
1129,design,16
1130,designation,1
1131,designed,4
1132,designif,1
1133,designing,2
1134,designs,1
1135,desire,1
1136,despite,17
1137,detail,4
1138,detailed,4
1139,details,2
1140,detectable,3
1141,detected,5
1142,detecting,1
1143,detection,4
1144,deterioration,1
1145,determinants,2
1146,determination,1
1147,determine,11
1148,determined,7
1149,determining,3
1150,detract,1
1151,devastating,2
1152,develop,16
1153,developed,18
1154,developers,1
1155,developing,5
1156,development,63
1157,developments,3
1158,dexamethasone,4
1159,diabetes,6
1160,diabetics,1
1161,diagnose,4
1162,diagnosed,4
1163,diagnosis,18
1164,diagnostic,1
1165,dialysis,3
1166,dichotomouschoice,1
1167,died,2
1168,differ,3
1169,difference,7
1170,differences,7
1171,different,41
1172,differential,5
1173,differentiation,1
1174,difficult,3
1175,difficulty,1
1176,diffuse,1
1177,digestive,1
1178,diluted,1
1179,diminished,1
1180,direct,5
1181,directacting,4
1182,directed,1
1183,directions,1
1184,directly,3
1185,disabilityadjusted,1
1186,disadvantage,1
1187,disadvantages,1
1188,disaster,1
1189,discharge,6
1190,discharged,4
1191,discontinuation,1
1192,discontinue,1
1193,discount,1
1194,discover,1
1195,discovery,2
1196,discuss,11
1197,discussed,13
1198,discusses,4
1199,discussing,1
1200,discussion,1
1201,discussions,1
1202,disease,111
1203,diseasecausing,4
1204,diseases,27
1205,diseasespecific,1
1206,disoproxil,12
1207,disorder,2
1208,disorders,3
1209,displayed,2
1210,disproportionately,2
1211,disrupt,1
