,terms,freq
0,_tf,24454
1,_ts,1739
2,_tw,4697
3,abatacept,9
4,abbreviations,1
5,ability,8
6,able,3
7,abnormal,3
8,abroad,1
9,absence,6
10,absolute,3
11,abstracts,1
12,abundant,1
13,academia,1
14,academic,2
15,academy,2
16,accelerate,2
17,accelerated,1
18,accelerating,1
19,accept,6
20,acceptability,3
21,acceptable,1
22,acceptance,7
23,accepted,2
24,accepting,1
25,access,6
26,accessibility,1
27,accompanied,2
28,accomplish,1
29,accordance,1
30,according,13
31,account,3
32,accounts,1
33,accruing,1
34,accuracy,2
35,ace,8
36,aceexpressiondisordercaused,1
37,achieve,11
38,achieved,7
39,achievement,1
40,achievements,1
41,achieving,10
42,acid,5
43,acids,2
44,acip,9
45,acips,2
46,acquire,2
47,acquired,3
48,acquiring,1
49,acquisition,1
50,across,11
51,act,6
52,action,7
53,actions,1
54,activate,1
55,activation,4
56,active,4
57,activities,6
58,activitiesimportance,1
59,activity,10
60,acute,60
61,acutechronic,1
62,adaptive,3
63,added,2
64,addition,15
65,additional,15
66,additionally,4
67,addon,7
68,address,5
69,addressed,2
70,addresses,1
71,addressing,1
72,ade,8
73,adefovir,2
74,adenopathy,5
75,adenosine,1
76,adequate,5
77,adequately,1
78,adherence,9
79,adiposederived,1
80,adjunct,1
81,adjust,1
82,adjusted,7
83,adjusting,3
84,adjuvant,5
85,adjuvanted,4
86,administer,1
87,administered,16
88,administering,2
89,administration,39
90,administrationin,1
91,administrations,1
92,administrative,1
93,administrators,1
94,admission,4
95,admitted,2
96,adolescent,2
97,adolescents,5
98,adopted,1
99,adoptive,1
100,adult,12
101,adulthood,1
102,adults,30
103,advanced,10
104,advancements,2
105,advances,4
106,advantage,2
107,advantages,3
108,adverse,26
109,advice,1
110,advised,1
111,advisory,6
112,advocacy,1
113,advocate,1
114,ae,2
115,aes,4
116,affect,5
117,affected,11
118,affecting,2
119,affiliated,2
120,afflicted,1
121,afflicts,1
122,affordable,2
123,aforementioned,1
124,africa,9
125,african,6
126,afucosylated,3
127,age,50
128,aged,15
129,ageing,1
130,agematched,1
131,agency,1
132,agent,14
133,agents,21
134,ages,2
135,agespecific,1
136,agestructured,1
137,aggressive,1
138,agiho,1
139,agitation,1
140,ago,4
141,agree,1
142,agreed,4
143,ahbv,42
144,ahead,2
145,aid,1
146,aim,12
147,aimed,20
148,aiming,1
149,aims,16
150,air,1
151,airway,1
152,alafenamide,5
153,alanine,5
154,alappuzha,1
155,albumin,1
156,alcohol,1
157,alfaa,1
158,alfab,1
159,alike,1
160,alkaloid,1
161,allergic,6
162,allergies,1
163,allium,2
164,allocate,2
165,allocated,1
166,allocating,2
167,allocation,6
168,allogeneic,1
169,allohsct,2
170,allow,3
171,allowed,2
172,allowing,2
173,allows,2
174,almost,7
175,alone,7
176,along,5
177,alpha,8
178,alphaexpert,1
179,already,5
180,also,58
181,alt,2
182,alterations,2
183,alterative,1
184,altered,2
185,alternative,9
186,althea,1
187,although,17
188,alumadjuvanted,1
189,aluminum,1
190,alveolar,5
191,always,1
192,ambitious,1
193,ameliorate,1
194,america,1
195,american,3
196,americans,3
197,ami,8
198,amild,1
199,amino,1
200,aminotransferase,6
201,aminotransferases,1
202,aml,1
203,among,58
204,amongst,2
205,amount,2
206,amounted,1
207,amplifies,1
208,amplifying,1
209,anakinra,3
210,analog,2
211,analogs,1
212,analogues,7
213,analysed,1
214,analyses,7
215,analysis,39
216,analytical,1
217,analyze,8
218,analyzed,10
219,analyzing,2
220,anamnestic,1
221,anaphylaxis,9
222,ancient,1
223,andrographis,1
224,anemia,1
225,angeles,1
226,angiogenesis,1
227,angiotensin,2
228,angiotensinconverting,2
229,animal,2
230,animals,1
231,ankara,1
232,ann,1
233,announced,1
234,announcing,1
235,annual,1
236,annually,1
237,anonymously,1
238,another,2
239,answers,1
240,antagonist,1
241,antagonists,1
242,antenatal,2
243,antiapoptotic,2
244,antibacterial,1
245,antibodies,15
246,antibody,40
247,antibodybased,1
248,antibodydependent,3
249,anticancer,3
250,anticccdna,2
251,anticd,2
252,anticipating,1
253,anticoronavirus,1
254,anticovid,1
255,antiepidemic,1
256,antifibrogenic,1
257,antifibrotic,1
258,antifungal,1
259,antigen,41
260,antigenemia,1
261,antigenic,3
262,antigenpositive,3
263,antigens,3
264,antiglycoprotein,1
265,antihbc,7
266,antihbcpositive,2
267,antihbs,68
268,antihbsenriched,1
269,antihbv,6
270,antihemolytic,1
271,antihepatitisb,3
272,antiinflammatory,7
273,antiliver,5
274,antimalarial,3
275,antimalarials,4
276,antimicrobial,1
277,antioxidant,4
278,antiparasite,1
279,antiplatelet,2
280,antiproliferative,1
281,antipsychotics,9
282,antiretroviral,2
283,antirheumatic,1
284,antithrombotic,1
285,antitnf,5
286,antitumor,1
287,antiviral,79
288,antivirals,12
289,antivirus,1
290,anxiety,3
291,anytime,1
292,aor,9
293,aors,1
294,apart,3
295,apes,1
296,aplastic,1
297,apobecs,1
298,appear,3
299,appearance,1
300,appears,1
301,applicability,1
302,application,2
303,applications,3
304,applied,5
305,apply,1
306,appraise,1
307,appraises,1
308,appreciated,1
309,approach,19
310,approaches,14
311,appropriate,4
312,approval,4
313,approvals,1
314,approve,1
315,approved,16
316,approximately,5
317,april,4
318,ar,3
319,arab,1
320,ards,3
321,area,7
322,areahypothesis,1
323,areaofbirth,1
324,areas,11
325,areasaim,1
326,arise,1
327,arisen,1
328,arising,1
329,around,6
330,arr,1
331,array,1
332,arrhythmia,1
333,arsenal,1
334,art,6
335,arterial,1
336,arthritis,2
337,article,19
338,articles,12
339,ascs,2
340,asct,6
341,aseptically,1
342,asia,1
343,asian,3
344,asixmonthsperiod,1
345,asked,2
346,asking,1
347,aspect,2
348,aspects,4
349,assay,3
350,assays,2
351,assess,12
352,assessed,14
353,assessing,4
354,assessment,5
355,assessments,1
356,assigned,3
357,assist,1
358,associated,58
359,association,14
360,associations,4
361,assuming,1
362,assured,1
363,astrazeneca,1
364,astrazenecas,1
365,asymptomatic,5
366,atazanavir,1
367,atherosclerosis,1
368,atonomous,1
369,atrisk,3
370,attachment,1
371,attain,1
372,attainment,1
373,attempt,2
374,attempts,3
375,attention,11
376,attitude,1
377,attitudes,4
378,attracted,1
379,attracting,2
380,attractive,1
381,attracts,1
382,attributes,2
383,audiologic,1
384,augmented,1
385,august,6
386,auroc,2
387,authorisation,1
388,authorise,1
389,authorities,1
390,authority,1
391,authorization,4
392,authorized,5
393,authors,5
394,autohaemotherapy,1
395,autoimmune,1
396,autologous,1
397,auxiliary,1
398,availability,3
399,available,44
400,availably,1
401,average,7
402,averted,5
403,avoid,1
404,awaited,1
405,aware,4
406,awareness,9
407,away,1
408,axillary,6
409,aya,3
410,azithromycin,8
411,azm,6
412,b,23
413,background,33
414,bacterial,1
415,badly,1
416,baghdad,1
417,baicalensis,1
418,baicalin,1
419,balance,1
420,balb,2
421,band,1
422,bank,1
423,barcelona,1
424,baricinitib,2
425,barrier,2
426,barriers,20
427,base,4
428,based,33
429,baseline,7
430,basis,5
431,batch,2
432,bats,1
433,bcell,3
434,bcg,1
435,bcp,1
436,bear,1
437,bears,1
438,became,3
439,become,3
440,becomes,4
441,becoming,1
442,began,1
443,begin,1
444,beginning,3
445,behavioral,1
446,behind,2
447,beijing,1
448,belgium,1
449,belief,3
450,belonged,1
451,belonging,1
452,benchmark,2
453,beneficial,3
454,beneficiaries,1
455,benefit,9
456,benefited,1
457,benefiting,2
458,benefits,10
459,benefitsaverting,1
460,besides,2
461,best,4
462,beta,2
463,betacorona,1
464,betacoronavirus,2
465,betapropiolactone,1
466,betathalassemia,5
467,better,14
468,beyond,1
469,bias,4
470,bile,1
471,billions,1
472,bim,1
473,binary,1
474,bind,1
475,binding,3
476,bioactive,5
477,bioactives,2
478,biochemical,4
479,biochemistry,1
480,biologic,3
481,biological,10
482,biomarkers,8
483,biomimicry,1
484,biontech,4
485,biophysical,2
486,biopsies,1
487,biopsy,1
488,biorad,1
489,biotec,1
490,birth,21
491,birthabroad,1
492,births,3
493,bivariate,1
494,black,5
495,block,1
496,blocking,1
497,blood,15
498,bloodstream,1
499,blot,1
500,bmdcs,1
501,bmi,2
502,bntb,9
503,board,1
504,bodies,1
505,body,4
506,bodymass,1
507,bolus,2
508,bone,2
509,booster,15
510,boosters,5
511,boosting,1
512,born,13
513,bottom,1
514,boundaries,1
515,bowel,2
516,boys,1
517,brain,2
518,break,1
519,breakthrough,1
520,breast,2
521,breastfed,8
522,breastfeed,1
523,breastfeeding,3
524,breg,13
525,bregmediated,1
526,brewing,1
527,brief,1
528,bring,1
529,british,1
530,broad,3
531,broader,1
532,broadly,1
533,broadspectrum,2
534,bronchitis,1
535,bronze,1
536,brooklyn,2
537,bruton,1
538,btki,4
539,btkis,5
540,budget,1
541,buffered,1
542,buoyant,1
543,burden,10
544,burns,1
545,c,28
546,ca,1
547,calculate,1
548,calculated,2
549,calculations,1
550,calibrated,1
551,california,1
552,called,2
553,calling,1
554,cambridge,1
555,camellia,2
556,cameroon,1
557,camp,2
558,campaigns,2
559,canada,1
560,cancer,37
561,cancers,2
562,candidate,7
563,candidates,17
564,cansino,1
565,capability,1
566,capable,2
567,capacity,2
568,capita,2
569,capital,1
570,capsids,2
571,carboxymethyl,1
572,carcinoma,17
573,carcinomas,1
574,cardioprotective,1
575,cardiovascular,4
576,care,29
577,careful,2
578,carefully,1
579,caregiver,1
580,caregivers,7
581,carers,1
582,carried,2
583,carrier,3
584,carriers,3
585,carrying,2
586,cart,3
587,case,17
588,casecontrol,5
589,cases,41
590,caspase,1
591,catastrophic,1
592,categories,2
593,causal,1
594,causative,2
595,cause,12
596,caused,22
597,causes,15
598,causing,6
599,caution,2
600,cautionary,1
601,cautions,1
602,cautious,1
603,cccdna,10
604,cclg,1
605,cd,49
606,cdc,3
607,cell,18
608,cellmediated,1
609,cells,59
610,cellular,7
611,cellulose,1
612,center,1
613,centers,4
614,central,2
615,centre,3
616,centuries,1
617,century,2
618,certain,5
619,certainty,1
620,cessation,3
621,chain,3
622,chains,2
623,chair,1
624,challenge,8
625,challenged,1
626,challenges,10
627,challenging,2
628,chances,1
629,change,2
630,changes,6
631,characterised,1
632,characteristic,3
633,characteristics,17
634,characterization,3
635,characterize,1
636,characterized,6
637,characterizing,1
638,charge,2
639,chart,2
640,chb,13
641,chc,1
642,checked,1
643,checks,1
644,chemical,1
645,chemiluminescent,1
646,chemokines,1
647,chemotherapy,19
648,chemotherapyinduced,1
649,chi,4
650,chicago,1
651,chictrprc,1
652,chilblainlike,1
653,child,7
654,childhood,9
655,childpugh,4
656,children,76
657,childrens,1
658,chimeric,1
659,china,16
660,chinese,6
661,chisquare,3
662,chitosan,1
663,chloroquine,7
664,chlorpromazine,1
665,choice,1
666,choices,3
667,choosing,2
668,chq,2
669,chronic,82
670,chronically,4
671,chronicity,1
672,chymotrypsinlike,1
673,ci,85
674,cid,4
675,cids,2
676,cilostazol,5
677,circular,4
678,cirrhosis,29
679,cirrhotic,3
680,cis,3
681,cisgender,1
682,citations,2
683,cited,2
684,citizens,1
685,citrus,2
686,city,3
687,civil,1
688,cl,1
689,clarify,2
690,class,2
691,classes,2
692,classical,1
693,cld,4
694,clear,1
695,clearance,2
696,clearly,1
697,cleaved,1
698,clinic,6
699,clinical,118
700,clinically,4
701,clinicaltrialsgov,8
702,clinicians,4
703,clinics,1
704,cll,2
705,cloned,1
706,close,3
707,closed,4
708,closely,2
709,closest,1
710,clozapine,1
711,clustering,1
712,cmc,4
713,cmcdmns,4
714,cmia,1
715,cmn,1
716,cmns,1
717,cnbg,1
718,cnki,1
719,cny,2
720,coadministered,1
721,coadministration,2
722,coagulation,1
723,coagulopathy,1
724,coalitions,1
725,coating,4
726,cochrane,5
727,coding,1
728,coefficients,1
729,coexisting,1
730,coexpression,1
731,coexpressionproteins,1
732,cohort,20
733,cohorts,6
734,coinfection,3
735,colchicine,1
736,collaboration,1
737,collaborative,1
738,colleagues,2
739,collect,1
740,collected,11
741,collecting,1
742,collection,2
743,college,1
744,combat,3
745,combating,1
746,combination,23
747,combinations,1
748,combined,6
749,come,2
750,comes,2
751,commenced,1
752,commencing,1
753,commitment,2
754,committee,6
755,commodities,1
756,commodity,2
757,common,13
758,commonly,5
759,communicated,1
760,communication,4
761,communities,3
762,community,18
763,communitybased,1
764,comorbidities,2
765,comorbidity,1
766,companies,1
767,comparable,6
768,comparative,3
769,compare,8
770,compared,57
771,comparing,2
772,comparison,7
773,compassionate,1
774,compelling,1
775,competition,1
776,compile,1
777,compiled,2
778,compiling,1
779,complete,5
780,completed,9
781,completely,2
782,completing,3
783,completion,10
784,complex,4
785,complexation,1
786,complexities,1
787,complexity,2
788,compliance,2
789,complications,15
790,comply,1
791,component,5
792,components,6
793,composed,3
794,composition,3
795,compounded,1
796,compounds,1
797,comprehensive,4
798,comprehensively,1
799,comprise,1
800,comprises,1
801,computational,1
802,concentration,5
803,concentrations,4
804,concept,1
805,conceptual,1
806,concern,6
807,concerned,1
808,concerning,1
809,concerns,5
810,conclude,1
811,concluded,1
812,concludes,1
813,conclusion,26
814,conclusions,31
815,conclusive,1
816,concomitant,1
817,concomitantly,2
818,concurrent,3
819,concurrently,1
820,condition,8
821,conditional,2
822,conditions,7
823,conduct,1
824,conducted,21
825,confer,1
826,conferred,1
827,confidence,16
828,confident,2
829,confirm,2
830,confirmed,5
831,confirms,1
832,confounding,1
833,confront,1
834,confronted,1
835,confusion,2
836,conjunction,2
837,conjunctivitis,1
838,connected,2
839,connection,1
840,connective,1
841,cons,1
842,conscious,1
843,consecutive,2
844,consecutively,1
845,consensus,1
846,consent,5
847,consequences,5
848,consequent,1
849,consequently,2
850,conservative,2
851,conserved,2
852,consider,5
853,consideration,3
854,considerations,5
855,considered,20
856,considering,5
857,considers,1
858,consist,1
859,consistency,2
860,consistently,1
861,consisting,1
862,consists,2
863,consolidate,1
864,constitute,2
865,construct,3
866,constructed,1
867,constructs,1
868,consultants,2
869,consultations,1
870,consulted,1
871,consumed,1
872,consumption,1
873,contact,3
874,contacted,1
875,contagious,1
876,contained,1
877,containing,7
878,contains,2
879,contenders,1
880,context,3
881,contextual,2
882,contextualized,1
883,contextually,1
884,contingent,1
885,continuation,1
886,continue,4
887,continued,8
888,continues,4
889,continuity,1
890,continuous,1
891,continuously,2
892,contracted,1
893,contracting,2
894,contraindicating,2
895,contraindications,3
896,contrast,4
897,contribute,4
898,contributed,1
899,contributes,1
900,contributing,1
901,contributors,1
902,control,27
903,controlled,13
904,controlling,7
905,controls,15
906,controversial,2
907,convalescent,1
908,convenience,1
909,conventional,7
910,converted,1
911,converting,2
912,convolutional,1
913,cooperation,1
914,copd,3
915,cope,2
916,core,8
917,corerelated,4
918,corners,1
919,cornerstone,2
920,corona,1
921,coronary,1
922,coronavirus,107
923,coronaviruses,2
924,correlate,1
925,correlation,1
926,correlations,1
927,corresponding,1
928,corticosteroid,1
929,corticosteroids,3
930,cost,8
931,costeffective,3
932,costeffectiveness,10
933,costly,1
934,costs,12
935,costsaving,2
936,costutility,3
937,cotrimoxazole,1
938,cough,1
939,could,24
940,counseling,1
941,count,2
942,counteract,1
943,counterparts,1
944,counting,1
945,countries,24
946,country,4
947,counts,2
948,county,2
949,coupled,1
950,course,13
951,courses,1
952,covalently,4
953,cover,3
954,coverage,12
955,covered,6
956,covering,1
957,covers,1
958,covid,439
959,covidpositive,1
960,covidrelated,7
961,covs,1
962,cox,2
963,cpg,6
964,cpgp,2
965,cq,1
966,crd,3
967,create,1
968,created,2
969,credible,1
970,crediblemeds,1
971,crises,1
972,crisis,3
973,criteria,16
974,critical,14
975,critically,4
976,crosssectional,5
977,crs,1
978,crucial,11
979,crude,1
980,cryoglobulinemic,1
981,cryopreserved,1
982,cryptotanshinone,1
983,cs,4
984,ct,2
985,ctd,3
986,ctds,1
987,ctl,1
988,ctla,1
989,culture,3
990,cultures,1
991,cuminum,1
992,cumulative,2
993,curative,2
994,curativeintent,1
995,curb,1
996,curcumin,1
997,cure,15
998,cured,1
999,curfews,1
1000,curing,1
1001,curiosity,1
1002,current,44
1003,currently,28
1004,curriculum,1
1005,curve,1
1006,cusp,1
1007,customizable,1
1008,cutaneous,4
1009,cutoff,3
1010,cutting,1
1011,cv,7
1012,cycle,3
1013,cycles,4
1014,cyminum,1
1015,cytochromes,2
1016,cytokine,19
1017,cytokines,6
1018,cytomegalovirus,1
1019,cytometrybased,2
1020,cytosine,2
1021,cytotoxic,2
1022,daa,1
1023,daas,3
1024,dagger,2
1025,daily,3
1026,daly,6
1027,dalys,1
1028,damage,16
1029,damaged,2
1030,damages,1
1031,dampen,1
1032,dangerous,1
1033,dangers,1
1034,darunavir,1
1035,data,52
1036,database,9
1037,databases,9
1038,date,14
1039,day,12
1040,days,19
1041,ddi,2
1042,ddimer,2
1043,ddis,1
1044,de,4
1045,deadliest,1
1046,deadly,1
1047,dealt,1
1048,death,11
1049,deaths,11
1050,debated,1
1051,debates,1
1052,dec,1
1053,decades,4
1054,december,20
1055,decision,3
1056,decisionmaking,1
1057,decisions,2
1058,decisiontree,1
1059,declare,1
1060,declared,1
1061,decline,1
1062,declined,1
1063,decrease,9
1064,decreased,16
1065,decreases,3
1066,decreasing,2
1067,dedicated,1
1068,deepen,1
1069,defects,1
1070,defensin,1
1071,deferred,1
1072,deficiencies,1
1073,deficient,1
1074,defined,8
1075,definite,4
1076,definitely,3
1077,definitions,3
1078,definitive,2
1079,degradation,1
1080,degree,1
1081,degrees,3
1082,delay,1
1083,delays,1
1084,deleterious,1
1085,deliberate,3
1086,deliberations,2
1087,delirium,2
1088,deliver,3
1089,delivered,3
1090,delivering,1
1091,delivery,15
1092,deluge,1
1093,demand,8
1094,demanding,1
1095,demands,1
1096,demographic,2
1097,demographics,1
1098,demonstrate,8
1099,demonstrated,18
1100,demonstrates,2
1101,demonstrating,2
1102,dendrimers,1
1103,dendritic,3
1104,dengue,3
1105,denmark,2
1106,density,2
1107,denv,2
1108,department,1
1109,departments,1
1110,depend,1
1111,depending,1
1112,depends,1
1113,depletion,1
1114,deploy,2
1115,deployed,5
1116,deploying,1
1117,deployment,2
1118,depth,1
1119,derivation,2
1120,derivatives,2
1121,derive,1
1122,derived,2
1123,dermatitis,3
1124,dermatologists,1
1125,dermatology,1
1126,descended,1
1127,describe,7
1128,described,5
1129,describing,2
1130,descriptions,1
1131,descriptive,2
1132,design,17
1133,designation,1
1134,designed,4
1135,designif,1
1136,designing,3
1137,designs,1
1138,desire,1
1139,despite,17
1140,detail,4
1141,detailed,4
1142,details,2
1143,detectable,3
1144,detected,5
1145,detecting,1
1146,detection,4
1147,deterioration,1
1148,determinants,2
1149,determination,1
1150,determine,11
1151,determined,7
1152,determining,3
1153,detract,1
1154,devastating,2
1155,develop,16
1156,developed,18
1157,developers,1
1158,developing,5
1159,development,66
1160,developments,3
1161,dexamethasone,4
1162,diabetes,6
1163,diabetics,1
1164,diagnose,4
1165,diagnosed,4
1166,diagnosis,18
1167,diagnostic,1
1168,dialysis,3
1169,dichotomouschoice,1
1170,died,2
1171,differ,3
1172,difference,9
1173,differences,7
1174,different,46
1175,differential,5
1176,differentiation,1
1177,difficult,3
1178,difficulty,1
1179,diffuse,1
1180,digestive,1
1181,diluted,1
1182,diminished,1
1183,direct,5
1184,directacting,4
1185,directed,1
1186,directions,1
1187,directly,3
1188,disabilityadjusted,1
1189,disadvantage,1
1190,disadvantages,1
1191,disaster,1
1192,discharge,6
1193,discharged,4
1194,discontinuation,1
1195,discontinue,1
1196,discount,1
1197,discover,1
1198,discovery,2
1199,discuss,11
1200,discussed,13
1201,discusses,4
1202,discussing,1
1203,discussion,1
1204,discussions,1
1205,disease,122
1206,diseasecausing,4
1207,diseases,28
1208,diseasespecific,1
1209,disoproxil,12
1210,disorder,2
1211,disorders,3
1212,displayed,2
